Profile,State,Exempt,Description,Status,Category,Classification,Type
"CoreLogic, Inc.",Monitor,False,Establish and maintain records management procedures used to manage organizational records.,Compliant,Records management,Preventive,Establish/Maintain Documentation
"CoreLogic, Inc.",Monitor,False,Establish and maintain records management policies used to manage organizational records.,Compliant,Records management,Preventive,Establish/Maintain Documentation
Lucasarts Entertainment,Monitor,False,Establish and maintain electronic storage media management procedures.,Compliant,Records management,Preventive,Establish/Maintain Documentation
Lucasarts Entertainment,Monitor,False,Establish and maintain a record classification scheme.,Compliant,Records management,Preventive,Establish/Maintain Documentation
"CoreLogic, Inc.",Monitor,False,Capture the records required by organizational compliance requirements.,Compliant,Records management,Detective,Records Management
Lucasarts Entertainment,Monitor,False,Establish and maintain records management procedures used to manage organizational records.,Compliant,Records management,Preventive,Establish/Maintain Documentation
Lucasarts Entertainment,Monitor,False,Establish and maintain records management policies used to manage organizational records.,Compliant,Records management,Preventive,Establish/Maintain Documentation
AT&T,Monitor,False,Establish and maintain electronic storage media management procedures.,Compliant,Records management,Preventive,Establish/Maintain Documentation
AT&T,Monitor,False,Establish and maintain a record classification scheme.,Compliant,Records management,Preventive,Establish/Maintain Documentation
Lucasarts Entertainment,Monitor,False,Capture the records required by organizational compliance requirements.,Compliant,Records management,Detective,Records Management
AT&T,Monitor,False,Establish and maintain records management procedures used to manage organizational records.,Compliant,Records management,Preventive,Establish/Maintain Documentation
AT&T,Monitor,False,Establish and maintain records management policies used to manage organizational records.,Compliant,Records management,Preventive,Establish/Maintain Documentation
Puma,Monitor,False,Establish and maintain electronic storage media management procedures.,Compliant,Records management,Preventive,Establish/Maintain Documentation
Puma,Monitor,False,Establish and maintain a record classification scheme.,Compliant,Records management,Preventive,Establish/Maintain Documentation
AT&T,Monitor,False,Capture the records required by organizational compliance requirements.,Compliant,Records management,Detective,Records Management
Puma,Monitor,False,Establish and maintain records management policies used to manage organizational records.,Compliant,Records management,Preventive,Establish/Maintain Documentation
Puma,Monitor,False,Establish and maintain records management procedures used to manage organizational records.,Compliant,Records management,Preventive,Establish/Maintain Documentation
SpyBot,Monitor,False,Establish and maintain electronic storage media management procedures.,Compliant,Records management,Preventive,Establish/Maintain Documentation
Puma,Monitor,False,Capture the records required by organizational compliance requirements.,Compliant,Records management,Detective,Records Management
SpyBot,Monitor,False,Establish and maintain a record classification scheme.,Compliant,Records management,Preventive,Establish/Maintain Documentation
SpyBot,Monitor,False,Establish and maintain records management policies used to manage organizational records.,Compliant,Records management,Preventive,Establish/Maintain Documentation
SpyBot,Monitor,False,Establish and maintain records management procedures used to manage organizational records.,Compliant,Records management,Preventive,Establish/Maintain Documentation
Kodak,Monitor,False,Establish and maintain electronic storage media management procedures.,Compliant,Records management,Preventive,Establish/Maintain Documentation
SpyBot,Monitor,False,Capture the records required by organizational compliance requirements.,Compliant,Records management,Detective,Records Management
Kodak,Monitor,False,Establish and maintain a record classification scheme.,Compliant,Records management,Preventive,Establish/Maintain Documentation
Kodak,Monitor,False,Establish and maintain records management policies used to manage organizational records.,Compliant,Records management,Preventive,Establish/Maintain Documentation
Seagate,Monitor,False,Establish and maintain electronic storage media management procedures.,Compliant,Records management,Preventive,Establish/Maintain Documentation
Kodak,Monitor,False,Establish and maintain records management procedures used to manage organizational records.,Compliant,Records management,Preventive,Establish/Maintain Documentation
Seagate,Monitor,False,Establish and maintain a record classification scheme.,Compliant,Records management,Preventive,Establish/Maintain Documentation
Kodak,Monitor,False,Capture the records required by organizational compliance requirements.,Compliant,Records management,Detective,Records Management
Seagate,Monitor,False,Establish and maintain records management policies used to manage organizational records.,Compliant,Records management,Preventive,Establish/Maintain Documentation
Seagate,Monitor,False,Establish and maintain records management procedures used to manage organizational records.,Compliant,Records management,Preventive,Establish/Maintain Documentation
Visio,Monitor,False,Establish and maintain electronic storage media management procedures.,Compliant,Records management,Preventive,Establish/Maintain Documentation
Seagate,Monitor,False,Capture the records required by organizational compliance requirements.,Compliant,Records management,Detective,Records Management
Visio,Monitor,False,Establish and maintain a record classification scheme.,Compliant,Records management,Preventive,Establish/Maintain Documentation
Visio,Monitor,False,Establish and maintain records management policies used to manage organizational records.,Compliant,Records management,Preventive,Establish/Maintain Documentation
Oracle,Monitor,False,Establish and maintain electronic storage media management procedures.,Compliant,Records management,Preventive,Establish/Maintain Documentation
Visio,Monitor,False,Establish and maintain records management procedures used to manage organizational records.,Compliant,Records management,Preventive,Establish/Maintain Documentation
Visio,Monitor,False,Capture the records required by organizational compliance requirements.,Compliant,Records management,Detective,Records Management
Oracle,Monitor,False,Establish and maintain a record classification scheme.,Compliant,Records management,Preventive,Establish/Maintain Documentation
Oracle,Monitor,False,Establish and maintain records management policies used to manage organizational records.,Compliant,Records management,Preventive,Establish/Maintain Documentation
Roxio,Monitor,False,Establish and maintain electronic storage media management procedures.,Compliant,Records management,Preventive,Establish/Maintain Documentation
Oracle,Monitor,False,Establish and maintain records management procedures used to manage organizational records.,Compliant,Records management,Preventive,Establish/Maintain Documentation
Oracle,Monitor,False,Capture the records required by organizational compliance requirements.,Compliant,Records management,Detective,Records Management
Roxio,Monitor,False,Establish and maintain records management policies used to manage organizational records.,Compliant,Records management,Preventive,Establish/Maintain Documentation
Roxio,Monitor,False,Establish and maintain a record classification scheme.,Compliant,Records management,Preventive,Establish/Maintain Documentation
Roxio,Monitor,False,Establish and maintain records management procedures used to manage organizational records.,Compliant,Records management,Preventive,Establish/Maintain Documentation
Cyberlink,Monitor,False,Establish and maintain electronic storage media management procedures.,Compliant,Records management,Preventive,Establish/Maintain Documentation
Roxio,Monitor,False,Capture the records required by organizational compliance requirements.,Compliant,Records management,Detective,Records Management
Cyberlink,Monitor,False,Establish and maintain a record classification scheme.,Compliant,Records management,Preventive,Establish/Maintain Documentation
Cyberlink,Monitor,False,Establish and maintain records management policies used to manage organizational records.,Compliant,Records management,Preventive,Establish/Maintain Documentation
Cyberlink,Monitor,False,Establish and maintain records management procedures used to manage organizational records.,Compliant,Records management,Preventive,Establish/Maintain Documentation
Cyberlink,Monitor,False,Capture the records required by organizational compliance requirements.,Compliant,Records management,Detective,Records Management
Transcend,Monitor,False,Establish and maintain electronic storage media management procedures.,Compliant,Records management,Preventive,Establish/Maintain Documentation
Transcend,Monitor,False,Establish and maintain records management policies used to manage organizational records.,Compliant,Records management,Preventive,Establish/Maintain Documentation
Transcend,Monitor,False,Establish and maintain a record classification scheme.,Compliant,Records management,Preventive,Establish/Maintain Documentation
Transcend,Monitor,False,Establish and maintain records management procedures used to manage organizational records.,Compliant,Records management,Preventive,Establish/Maintain Documentation
RealNetworks,Monitor,False,Establish and maintain electronic storage media management procedures.,Compliant,Records management,Preventive,Establish/Maintain Documentation
Transcend,Monitor,False,Capture the records required by organizational compliance requirements.,Compliant,Records management,Detective,Records Management
RealNetworks,Monitor,False,Establish and maintain records management policies used to manage organizational records.,Compliant,Records management,Preventive,Establish/Maintain Documentation
RealNetworks,Monitor,False,Establish and maintain a record classification scheme.,Compliant,Records management,Preventive,Establish/Maintain Documentation
RealNetworks,Monitor,False,Establish and maintain records management procedures used to manage organizational records.,Compliant,Records management,Preventive,Establish/Maintain Documentation
Citrix Systems,Monitor,False,Establish and maintain electronic storage media management procedures.,Compliant,Records management,Preventive,Establish/Maintain Documentation
Citrix Systems,Monitor,False,Establish and maintain records management policies used to manage organizational records.,Compliant,Records management,Preventive,Establish/Maintain Documentation
RealNetworks,Monitor,False,Capture the records required by organizational compliance requirements.,Compliant,Records management,Detective,Records Management
Citrix Systems,Monitor,False,Establish and maintain a record classification scheme.,Compliant,Records management,Preventive,Establish/Maintain Documentation
Symantec,Monitor,False,Establish and maintain electronic storage media management procedures.,Compliant,Records management,Preventive,Establish/Maintain Documentation
Citrix Systems,Monitor,False,Establish and maintain records management procedures used to manage organizational records.,Compliant,Records management,Preventive,Establish/Maintain Documentation
Symantec,Monitor,False,Establish and maintain records management policies used to manage organizational records.,Compliant,Records management,Preventive,Establish/Maintain Documentation
Citrix Systems,Monitor,False,Capture the records required by organizational compliance requirements.,Compliant,Records management,Detective,Records Management
Symantec,Monitor,False,Establish and maintain a record classification scheme.,Compliant,Records management,Preventive,Establish/Maintain Documentation
America Online,Monitor,False,Establish and maintain electronic storage media management procedures.,Compliant,Records management,Preventive,Establish/Maintain Documentation
Symantec,Monitor,False,Establish and maintain records management procedures used to manage organizational records.,Compliant,Records management,Preventive,Establish/Maintain Documentation
America Online,Monitor,False,Establish and maintain records management policies used to manage organizational records.,Compliant,Records management,Preventive,Establish/Maintain Documentation
Symantec,Monitor,False,Capture the records required by organizational compliance requirements.,Compliant,Records management,Detective,Records Management
America Online,Monitor,False,Establish and maintain a record classification scheme.,Compliant,Records management,Preventive,Establish/Maintain Documentation
Winzip Computing,Monitor,False,Establish and maintain electronic storage media management procedures.,Compliant,Records management,Preventive,Establish/Maintain Documentation
America Online,Monitor,False,Establish and maintain records management procedures used to manage organizational records.,Compliant,Records management,Preventive,Establish/Maintain Documentation
America Online,Monitor,False,Capture the records required by organizational compliance requirements.,Compliant,Records management,Detective,Records Management
Winzip Computing,Monitor,False,Establish and maintain records management policies used to manage organizational records.,Compliant,Records management,Preventive,Establish/Maintain Documentation
Winzip Computing,Monitor,False,Establish and maintain a record classification scheme.,Compliant,Records management,Preventive,Establish/Maintain Documentation
Disney,Monitor,False,Establish and maintain electronic storage media management procedures.,Compliant,Records management,Preventive,Establish/Maintain Documentation
Winzip Computing,Monitor,False,Establish and maintain records management procedures used to manage organizational records.,Compliant,Records management,Preventive,Establish/Maintain Documentation
Winzip Computing,Monitor,False,Capture the records required by organizational compliance requirements.,Compliant,Records management,Detective,Records Management
Disney,Monitor,False,Establish and maintain records management policies used to manage organizational records.,Compliant,Records management,Preventive,Establish/Maintain Documentation
Disney,Monitor,False,Establish and maintain a record classification scheme.,Compliant,Records management,Preventive,Establish/Maintain Documentation
Backweb,Monitor,False,Establish and maintain electronic storage media management procedures.,Compliant,Records management,Preventive,Establish/Maintain Documentation
Disney,Monitor,False,Establish and maintain records management procedures used to manage organizational records.,Compliant,Records management,Preventive,Establish/Maintain Documentation
Disney,Monitor,False,Capture the records required by organizational compliance requirements.,Compliant,Records management,Detective,Records Management
Backweb,Monitor,False,Establish and maintain records management policies used to manage organizational records.,Compliant,Records management,Preventive,Establish/Maintain Documentation
Backweb,Monitor,False,Establish and maintain a record classification scheme.,Compliant,Records management,Preventive,Establish/Maintain Documentation
Autodesk Inc.,Monitor,False,Establish and maintain electronic storage media management procedures.,Compliant,Records management,Preventive,Establish/Maintain Documentation
Backweb,Monitor,False,Establish and maintain records management procedures used to manage organizational records.,Compliant,Records management,Preventive,Establish/Maintain Documentation
Backweb,Monitor,False,Capture the records required by organizational compliance requirements.,Compliant,Records management,Detective,Records Management
Autodesk Inc.,Monitor,False,Establish and maintain records management policies used to manage organizational records.,Compliant,Records management,Preventive,Establish/Maintain Documentation
APC,Monitor,False,Establish and maintain electronic storage media management procedures.,Compliant,Records management,Preventive,Establish/Maintain Documentation
Autodesk Inc.,Monitor,False,Establish and maintain a record classification scheme.,Compliant,Records management,Preventive,Establish/Maintain Documentation
Autodesk Inc.,Monitor,False,Establish and maintain records management procedures used to manage organizational records.,Compliant,Records management,Preventive,Establish/Maintain Documentation
Autodesk Inc.,Monitor,False,Capture the records required by organizational compliance requirements.,Compliant,Records management,Detective,Records Management
APC,Monitor,False,Establish and maintain records management policies used to manage organizational records.,Compliant,Records management,Preventive,Establish/Maintain Documentation
Broadcom,Monitor,False,Establish and maintain electronic storage media management procedures.,Compliant,Records management,Preventive,Establish/Maintain Documentation
APC,Monitor,False,Establish and maintain a record classification scheme.,Compliant,Records management,Preventive,Establish/Maintain Documentation
APC,Monitor,False,Establish and maintain records management procedures used to manage organizational records.,Compliant,Records management,Preventive,Establish/Maintain Documentation
APC,Monitor,False,Capture the records required by organizational compliance requirements.,Compliant,Records management,Detective,Records Management
Lenovo,Monitor,False,Establish and maintain electronic storage media management procedures.,Compliant,Records management,Preventive,Establish/Maintain Documentation
Broadcom,Monitor,False,Establish and maintain a record classification scheme.,Compliant,Records management,Preventive,Establish/Maintain Documentation
Broadcom,Monitor,False,Establish and maintain records management policies used to manage organizational records.,Compliant,Records management,Preventive,Establish/Maintain Documentation
Broadcom,Monitor,False,Establish and maintain records management procedures used to manage organizational records.,Compliant,Records management,Preventive,Establish/Maintain Documentation
Broadcom,Monitor,False,Capture the records required by organizational compliance requirements.,Compliant,Records management,Detective,Records Management
Lenovo,Monitor,False,Establish and maintain a record classification scheme.,Compliant,Records management,Preventive,Establish/Maintain Documentation
iBUYPOWER,Monitor,False,Establish and maintain electronic storage media management procedures.,Compliant,Records management,Preventive,Establish/Maintain Documentation
Lenovo,Monitor,False,Establish and maintain records management policies used to manage organizational records.,Compliant,Records management,Preventive,Establish/Maintain Documentation
Lenovo,Monitor,False,Establish and maintain records management procedures used to manage organizational records.,Compliant,Records management,Preventive,Establish/Maintain Documentation
Lenovo,Monitor,False,Capture the records required by organizational compliance requirements.,Compliant,Records management,Detective,Records Management
IBM,Monitor,False,Establish and maintain electronic storage media management procedures.,Compliant,Records management,Preventive,Establish/Maintain Documentation
iBUYPOWER,Monitor,False,Establish and maintain a record classification scheme.,Compliant,Records management,Preventive,Establish/Maintain Documentation
iBUYPOWER,Monitor,False,Establish and maintain records management policies used to manage organizational records.,Compliant,Records management,Preventive,Establish/Maintain Documentation
iBUYPOWER,Monitor,False,Establish and maintain records management procedures used to manage organizational records.,Compliant,Records management,Preventive,Establish/Maintain Documentation
iBUYPOWER,Monitor,False,Capture the records required by organizational compliance requirements.,Compliant,Records management,Detective,Records Management
Cisco,Monitor,False,Establish and maintain electronic storage media management procedures.,Compliant,Records management,Preventive,Establish/Maintain Documentation
IBM,Monitor,False,Establish and maintain records management policies used to manage organizational records.,Compliant,Records management,Preventive,Establish/Maintain Documentation
IBM,Monitor,False,Establish and maintain a record classification scheme.,Compliant,Records management,Preventive,Establish/Maintain Documentation
IBM,Monitor,False,Establish and maintain records management procedures used to manage organizational records.,Compliant,Records management,Preventive,Establish/Maintain Documentation
IBM,Monitor,False,Capture the records required by organizational compliance requirements.,Compliant,Records management,Detective,Records Management
Apple,Monitor,False,Establish and maintain electronic storage media management procedures.,Compliant,Records management,Preventive,Establish/Maintain Documentation
Cisco,Monitor,False,Establish and maintain records management policies used to manage organizational records.,Compliant,Records management,Preventive,Establish/Maintain Documentation
Cisco,Monitor,False,Establish and maintain a record classification scheme.,Compliant,Records management,Preventive,Establish/Maintain Documentation
Cisco,Monitor,False,Capture the records required by organizational compliance requirements.,Compliant,Records management,Detective,Records Management
Cisco,Monitor,False,Establish and maintain records management procedures used to manage organizational records.,Compliant,Records management,Preventive,Establish/Maintain Documentation
Brother,Monitor,False,Establish and maintain electronic storage media management procedures.,Compliant,Records management,Preventive,Establish/Maintain Documentation
Apple,Monitor,False,Establish and maintain records management policies used to manage organizational records.,Compliant,Records management,Preventive,Establish/Maintain Documentation
Apple,Monitor,False,Establish and maintain a record classification scheme.,Compliant,Records management,Preventive,Establish/Maintain Documentation
Apple,Monitor,False,Capture the records required by organizational compliance requirements.,Compliant,Records management,Detective,Records Management
Apple,Monitor,False,Establish and maintain records management procedures used to manage organizational records.,Compliant,Records management,Preventive,Establish/Maintain Documentation
ServiceNow,Monitor,False,Establish and maintain electronic storage media management procedures.,Compliant,Records management,Preventive,Establish/Maintain Documentation
Brother,Monitor,False,Establish and maintain records management policies used to manage organizational records.,Compliant,Records management,Preventive,Establish/Maintain Documentation
Brother,Monitor,False,Establish and maintain a record classification scheme.,Compliant,Records management,Preventive,Establish/Maintain Documentation
Brother,Monitor,False,Capture the records required by organizational compliance requirements.,Compliant,Records management,Detective,Records Management
Brother,Monitor,False,Establish and maintain records management procedures used to manage organizational records.,Compliant,Records management,Preventive,Establish/Maintain Documentation
Asus,Monitor,False,Establish and maintain electronic storage media management procedures.,Compliant,Records management,Preventive,Establish/Maintain Documentation
ServiceNow,Monitor,False,Establish and maintain records management policies used to manage organizational records.,Compliant,Records management,Preventive,Establish/Maintain Documentation
ServiceNow,Monitor,False,Establish and maintain a record classification scheme.,Compliant,Records management,Preventive,Establish/Maintain Documentation
ServiceNow,Monitor,False,Capture the records required by organizational compliance requirements.,Compliant,Records management,Detective,Records Management
ServiceNow,Monitor,False,Establish and maintain records management procedures used to manage organizational records.,Compliant,Records management,Preventive,Establish/Maintain Documentation
Siebel,Monitor,False,Establish and maintain electronic storage media management procedures.,Compliant,Records management,Preventive,Establish/Maintain Documentation
Asus,Monitor,False,Capture the records required by organizational compliance requirements.,Compliant,Records management,Detective,Records Management
Asus,Monitor,False,Establish and maintain records management policies used to manage organizational records.,Compliant,Records management,Preventive,Establish/Maintain Documentation
Asus,Monitor,False,Establish and maintain a record classification scheme.,Compliant,Records management,Preventive,Establish/Maintain Documentation
Asus,Monitor,False,Establish and maintain records management procedures used to manage organizational records.,Compliant,Records management,Preventive,Establish/Maintain Documentation
Amazon,Monitor,False,Establish and maintain electronic storage media management procedures.,Compliant,Records management,Preventive,Establish/Maintain Documentation
Siebel,Monitor,False,Establish and maintain records management policies used to manage organizational records.,Compliant,Records management,Preventive,Establish/Maintain Documentation
Siebel,Monitor,False,Establish and maintain a record classification scheme.,Compliant,Records management,Preventive,Establish/Maintain Documentation
Siebel,Monitor,False,Capture the records required by organizational compliance requirements.,Compliant,Records management,Detective,Records Management
Siebel,Monitor,False,Establish and maintain records management procedures used to manage organizational records.,Compliant,Records management,Preventive,Establish/Maintain Documentation
Hewlett-Packard,Monitor,False,Establish and maintain electronic storage media management procedures.,Compliant,Records management,Preventive,Establish/Maintain Documentation
Amazon,Monitor,False,Establish and maintain records management policies used to manage organizational records.,Compliant,Records management,Preventive,Establish/Maintain Documentation
Amazon,Monitor,False,Establish and maintain a record classification scheme.,Compliant,Records management,Preventive,Establish/Maintain Documentation
Amazon,Monitor,False,Capture the records required by organizational compliance requirements.,Compliant,Records management,Detective,Records Management
Amazon,Monitor,False,Establish and maintain records management procedures used to manage organizational records.,Compliant,Records management,Preventive,Establish/Maintain Documentation
Dell Inc.,Monitor,False,Establish and maintain electronic storage media management procedures.,Compliant,Records management,Preventive,Establish/Maintain Documentation
Hewlett-Packard,Monitor,False,Establish and maintain records management policies used to manage organizational records.,Compliant,Records management,Preventive,Establish/Maintain Documentation
Hewlett-Packard,Monitor,False,Capture the records required by organizational compliance requirements.,Compliant,Records management,Detective,Records Management
Hewlett-Packard,Monitor,False,Establish and maintain a record classification scheme.,Compliant,Records management,Preventive,Establish/Maintain Documentation
Hewlett-Packard,Monitor,False,Establish and maintain records management procedures used to manage organizational records.,Compliant,Records management,Preventive,Establish/Maintain Documentation
Adobe Systems,Monitor,False,Establish and maintain electronic storage media management procedures.,Compliant,Records management,Preventive,Establish/Maintain Documentation
Dell Inc.,Monitor,False,Establish and maintain records management policies used to manage organizational records.,Compliant,Records management,Preventive,Establish/Maintain Documentation
Dell Inc.,Monitor,False,Establish and maintain a record classification scheme.,Compliant,Records management,Preventive,Establish/Maintain Documentation
Dell Inc.,Monitor,False,Capture the records required by organizational compliance requirements.,Compliant,Records management,Detective,Records Management
Dell Inc.,Monitor,False,Establish and maintain records management procedures used to manage organizational records.,Compliant,Records management,Preventive,Establish/Maintain Documentation
Toshiba,Monitor,False,Establish and maintain electronic storage media management procedures.,Compliant,Records management,Preventive,Establish/Maintain Documentation
Adobe Systems,Monitor,False,Establish and maintain records management policies used to manage organizational records.,Compliant,Records management,Preventive,Establish/Maintain Documentation
Adobe Systems,Monitor,False,Capture the records required by organizational compliance requirements.,Compliant,Records management,Detective,Records Management
Adobe Systems,Monitor,False,Establish and maintain a record classification scheme.,Compliant,Records management,Preventive,Establish/Maintain Documentation
Adobe Systems,Monitor,False,Establish and maintain records management procedures used to manage organizational records.,Compliant,Records management,Preventive,Establish/Maintain Documentation
Fujitsu,Monitor,False,Establish and maintain electronic storage media management procedures.,Compliant,Records management,Preventive,Establish/Maintain Documentation
Toshiba,Monitor,False,Establish and maintain records management policies used to manage organizational records.,Compliant,Records management,Preventive,Establish/Maintain Documentation
Toshiba,Monitor,False,Capture the records required by organizational compliance requirements.,Compliant,Records management,Detective,Records Management
Toshiba,Monitor,False,Establish and maintain a record classification scheme.,Compliant,Records management,Preventive,Establish/Maintain Documentation
Toshiba,Monitor,False,Establish and maintain records management procedures used to manage organizational records.,Compliant,Records management,Preventive,Establish/Maintain Documentation
CA Technologies,Monitor,False,Establish and maintain electronic storage media management procedures.,Compliant,Records management,Preventive,Establish/Maintain Documentation
Fujitsu,Monitor,False,Establish and maintain records management policies used to manage organizational records.,Compliant,Records management,Preventive,Establish/Maintain Documentation
Fujitsu,Monitor,False,Establish and maintain a record classification scheme.,Compliant,Records management,Preventive,Establish/Maintain Documentation
Fujitsu,Monitor,False,Capture the records required by organizational compliance requirements.,Compliant,Records management,Detective,Records Management
Fujitsu,Monitor,False,Establish and maintain records management procedures used to manage organizational records.,Compliant,Records management,Preventive,Establish/Maintain Documentation
SAP,Monitor,False,Establish and maintain electronic storage media management procedures.,Compliant,Records management,Preventive,Establish/Maintain Documentation
CA Technologies,Monitor,False,Establish and maintain records management policies used to manage organizational records.,Compliant,Records management,Preventive,Establish/Maintain Documentation
CA Technologies,Monitor,False,Capture the records required by organizational compliance requirements.,Compliant,Records management,Detective,Records Management
CA Technologies,Monitor,False,Establish and maintain a record classification scheme.,Compliant,Records management,Preventive,Establish/Maintain Documentation
CA Technologies,Monitor,False,Establish and maintain records management procedures used to manage organizational records.,Compliant,Records management,Preventive,Establish/Maintain Documentation
Iris,Monitor,False,Establish and maintain electronic storage media management procedures.,Compliant,Records management,Preventive,Establish/Maintain Documentation
SAP,Monitor,False,Establish and maintain a record classification scheme.,Compliant,Records management,Preventive,Establish/Maintain Documentation
SAP,Monitor,False,Capture the records required by organizational compliance requirements.,Compliant,Records management,Detective,Records Management
SAP,Monitor,False,Establish and maintain records management procedures used to manage organizational records.,Compliant,Records management,Preventive,Establish/Maintain Documentation
SAP,Monitor,False,Establish and maintain records management policies used to manage organizational records.,Compliant,Records management,Preventive,Establish/Maintain Documentation
Lexmark,Monitor,False,Establish and maintain electronic storage media management procedures.,Compliant,Records management,Preventive,Establish/Maintain Documentation
Iris,Monitor,False,Establish and maintain records management procedures used to manage organizational records.,Compliant,Records management,Preventive,Establish/Maintain Documentation
Iris,Monitor,False,Establish and maintain a record classification scheme.,Compliant,Records management,Preventive,Establish/Maintain Documentation
Iris,Monitor,False,Capture the records required by organizational compliance requirements.,Compliant,Records management,Detective,Records Management
Iris,Monitor,False,Establish and maintain records management policies used to manage organizational records.,Compliant,Records management,Preventive,Establish/Maintain Documentation
Gateway,Monitor,False,Establish and maintain electronic storage media management procedures.,Compliant,Records management,Preventive,Establish/Maintain Documentation
Lexmark,Monitor,False,Establish and maintain records management procedures used to manage organizational records.,Compliant,Records management,Preventive,Establish/Maintain Documentation
Lexmark,Monitor,False,Capture the records required by organizational compliance requirements.,Compliant,Records management,Detective,Records Management
Lexmark,Monitor,False,Establish and maintain records management policies used to manage organizational records.,Compliant,Records management,Preventive,Establish/Maintain Documentation
Lexmark,Monitor,False,Establish and maintain a record classification scheme.,Compliant,Records management,Preventive,Establish/Maintain Documentation
Maxtor,Monitor,False,Establish and maintain electronic storage media management procedures.,Compliant,Records management,Preventive,Establish/Maintain Documentation
Gateway,Monitor,False,Capture the records required by organizational compliance requirements.,Compliant,Records management,Detective,Records Management
Gateway,Monitor,False,Establish and maintain records management procedures used to manage organizational records.,Compliant,Records management,Preventive,Establish/Maintain Documentation
Gateway,Monitor,False,Establish and maintain records management policies used to manage organizational records.,Compliant,Records management,Preventive,Establish/Maintain Documentation
Gateway,Monitor,False,Establish and maintain a record classification scheme.,Compliant,Records management,Preventive,Establish/Maintain Documentation
Canon,Monitor,False,Establish and maintain electronic storage media management procedures.,Compliant,Records management,Preventive,Establish/Maintain Documentation
Maxtor,Monitor,False,Capture the records required by organizational compliance requirements.,Compliant,Records management,Detective,Records Management
Maxtor,Monitor,False,Establish and maintain records management policies used to manage organizational records.,Compliant,Records management,Preventive,Establish/Maintain Documentation
Maxtor,Monitor,False,Establish and maintain records management procedures used to manage organizational records.,Compliant,Records management,Preventive,Establish/Maintain Documentation
Maxtor,Monitor,False,Establish and maintain a record classification scheme.,Compliant,Records management,Preventive,Establish/Maintain Documentation
Veritas Software,Monitor,False,Establish and maintain electronic storage media management procedures.,Compliant,Records management,Preventive,Establish/Maintain Documentation
Canon,Monitor,False,Capture the records required by organizational compliance requirements.,Compliant,Records management,Detective,Records Management
Canon,Monitor,False,Establish and maintain records management procedures used to manage organizational records.,Compliant,Records management,Preventive,Establish/Maintain Documentation
Canon,Monitor,False,Establish and maintain records management policies used to manage organizational records.,Compliant,Records management,Preventive,Establish/Maintain Documentation
Canon,Monitor,False,Establish and maintain a record classification scheme.,Compliant,Records management,Preventive,Establish/Maintain Documentation
Veritas Software,Monitor,False,Capture the records required by organizational compliance requirements.,Compliant,Records management,Detective,Records Management
Veritas Software,Monitor,False,Establish and maintain records management policies used to manage organizational records.,Compliant,Records management,Preventive,Establish/Maintain Documentation
Cyberpower,Monitor,False,Establish and maintain electronic storage media management procedures.,Compliant,Records management,Preventive,Establish/Maintain Documentation
Veritas Software,Monitor,False,Establish and maintain records management procedures used to manage organizational records.,Compliant,Records management,Preventive,Establish/Maintain Documentation
Veritas Software,Monitor,False,Establish and maintain a record classification scheme.,Compliant,Records management,Preventive,Establish/Maintain Documentation
Cyberpower,Monitor,False,Capture the records required by organizational compliance requirements.,Compliant,Records management,Detective,Records Management
Wacom,Monitor,False,Establish and maintain electronic storage media management procedures.,Compliant,Records management,Preventive,Establish/Maintain Documentation
Cyberpower,Monitor,False,Establish and maintain records management policies used to manage organizational records.,Compliant,Records management,Preventive,Establish/Maintain Documentation
Cyberpower,Monitor,False,Establish and maintain a record classification scheme.,Compliant,Records management,Preventive,Establish/Maintain Documentation
Cyberpower,Monitor,False,Establish and maintain records management procedures used to manage organizational records.,Compliant,Records management,Preventive,Establish/Maintain Documentation
Wacom,Monitor,False,Capture the records required by organizational compliance requirements.,Compliant,Records management,Detective,Records Management
Wacom,Monitor,False,Establish and maintain records management policies used to manage organizational records.,Compliant,Records management,Preventive,Establish/Maintain Documentation
Wacom,Monitor,False,Establish and maintain a record classification scheme.,Compliant,Records management,Preventive,Establish/Maintain Documentation
Wacom,Monitor,False,Establish and maintain records management procedures used to manage organizational records.,Compliant,Records management,Preventive,Establish/Maintain Documentation
Samsung,Monitor,True,Establish and maintain a remote access and teleworking program.,Compliant,Technical security,Preventive,Establish/Maintain Documentation
EMC,Monitor,False,Establish and maintain a remote access and teleworking program.,Compliant,Technical security,Preventive,Establish/Maintain Documentation
InstallShield Software,Monitor,True,Establish and maintain a remote access and teleworking program.,Compliant,Technical security,Preventive,Establish/Maintain Documentation
Palm,Monitor,False,Establish and maintain a remote access and teleworking program.,Compliant,Technical security,Preventive,Establish/Maintain Documentation
Google,Monitor,False,Establish and maintain a remote access and teleworking program.,Compliant,Technical security,Preventive,Establish/Maintain Documentation
Sony,Monitor,False,Establish and maintain a remote access and teleworking program.,Compliant,Technical security,Preventive,Establish/Maintain Documentation
Intuit,Monitor,False,Establish and maintain a remote access and teleworking program.,Compliant,Technical security,Preventive,Establish/Maintain Documentation
The Eclipse Foundation,Monitor,False,Establish and maintain a remote access and teleworking program.,Compliant,Technical security,Preventive,Establish/Maintain Documentation
Intel,Monitor,False,Establish and maintain a remote access and teleworking program.,Compliant,Technical security,Preventive,Establish/Maintain Documentation
Logitech,Monitor,False,Establish and maintain a remote access and teleworking program.,Compliant,Technical security,Preventive,Establish/Maintain Documentation
